# Urdu word -> Roman spelling, from the aligned region of
# Roman-Urdu-Parl. Built by scripts/build_translit_dict.py (ADR-014).
# Do not rebuild from the whole corpus: 90% of it is misaligned.
urdu	roman
تتلیاں	titliyan
تتلیوں	titliyon
تثلیت	tasleet
تثلیث	taslees
تج	tj
تجار	tujar
تجارت	tijarat
تجارتي	tijarti
تجارتی	tijarti
تجاری	tjari
تجاوز	tajawaz
تجاوزات	tajawazat
تجاویز	tajaweez
تجدد	tajadud
تجددانہ	tajdudana
تجدید	tajdeed
تجدیدی	tajdeedi
تجر	tajar
تجربات	tajarbaat
تجرباتي	tajribati
تجرباتی	tajribati
تجربوں	tajrbon
تجربہ	tajurbah
تجربۂ	tajurbah
تجربی	tjrbi
تجربے	tajarbay
تجرد	tajarud
تجریئے	tjriye
تجریدی	tajreedi
تجزیئے	ko
تجزیات	tjzyat
تجزیاتی	tjzyati
تجزیوں	tjzyon
تجزیہ	tajzia
تجزیۂ	tajzia
تجزیے	tajziye
تجزیےمہیا	wali
تجسس	tajassus
تجسیم	tajseem
تجلی	tajallii
تجلیات	tjlyat
تجمع	tjma
تجمل	tajammal
تجوری	tijori
تجوریاں	tijoryan
تجوید	tajveed
تجویز	tajweez
تجویزوں	tjoyzon
تجویزیں	tjoyzin
تجھ	tujh
تجھی	tujhi
تجھے	tujhe
تجہیز	tajheez
تحائف	ahaef
تحاریک	tharik
تحاشا	thaasha
تحاشہ	tahasha
تحت	tehat
تحدید	tahdeed
تحدیدات	thdidat
تحذیر	tahzir
تحريک	tehreek
تحریر	tehreer
تحریروں	tahreeron
تحریری	tehreeri
تحریریں	tahreerein
تحریص	tahrees
تحریف	tahreef
تحریم	tahrim
تحریمہ	tehrima
تحریک	tehreek
تحریکوں	thrikon
تحریکی	thriki
تحریکیں	thrikin
تحسین	tehseen
تحصيل	tehseel
تحصیل	tehseel
تحصیلدار	thsildar
تحصیلوں	thsilon
تحصیلیں	thsilin
تحفط	thft
تحفظ	tahaffuz
تحفظات	tahaffuzaat
تحفظاتی	thfzati
تحفظی	thfzi
تحفہ	tohfa
تحفۂ	tohfa
تحفۃ	tohfa
تحفیف	thfif
تحفے	tohfay
تحقيق	tahaqeeq
تحقیر	tehqeer
تحقیق	tahaqeeq
تحقیقات	tehqiqaat
تحقیقاتی	tehqiqati
تحقیقوں	thqiqon
تحقیقی	tehqeeqi
تحلیل	tahleel
تحلیلی	tehleeli
تحمل	tahhaamul
تحمید	tehmid
تحویل	tehweel
تحکمانہ	tahakumana
تحیر	tahayur
تحیقات	thiqat
تخاطب	takhatub
تخت	takhat
تختوں	takhton
تختہ	takhta
تختۂ	takhta
تختی	takhti
تختیاں	tkhtyan
تختیوں	tkhtyon
تختے	takhtay
تخدیر	takhdeer
تخریب	takhreeb
تخریبی	takhribi
تخصص	tkhss
تخصیص	takhsees
تخفیف	takhfeef
تخفیفی	tkhfifi
تخلص	takhallus
تخليقی	pakistani
تخلیق	takhleeq
تخلیقات	tkhliqat
تخلیقی	takhleeqi
تخلیہ	takhlia
تخم	tukham
تخمينہ	takhmeenah
تخمک	tukhmak
تخمی	daar
تخمینا	takhmena
تخمینوں	tkhminon
تخمینہ	takhmeenah
تخمینی	school
تخمینے	tkhmine
تخمیہ	tkhmih
تخیل	takhayyul
تخیلات	khwahisaat
تخیلاتی	tkhilati
تخیلی	takhayuli
تدابیر	tadabeer
تدارک	tadaruk
تدبر	tdbr
تدبیر	tadbeer
تدبیروں	tdbiron
تدبیری	tadbeeri
تدبیریں	tadbeerye
تدریجی	tadreeji
تدریس	tadrees
تدریسی	tdrisi
تدفین	tadfeen
تدوین	tadween
تذبذب	tazabzub
تذلیل	tazleel
تذکرہ	tazkara
تذکرۂ	tazkara
تذکرۃ	tazkara
تذکرے	tazkeray
تذکیر	tazkeer
تر	tar
ترا	tra
ترائی	tarai
تراب	terab
ترابی	trabi
تراجم	trajm
ترازو	traazo
تراسی	tarasi
تراش	taraash
تراشا	tarasha
تراشنا	tarashna
تراشنے	taraashney
تراشوں	tarashoon
تراشہ	tarasha
تراشی	tarashi
تراشیدہ	tarasheda
تراشیں	taraashen
تراشے	tarashe
ترامیم	tarameem
ترانوں	tranon
ترانوے	tiranway
ترانہ	taranah
ترانۂ	taranah
ترانے	tarane
تراویح	taraveeh
تراکیب	trakib
تربت	turbat
تربوز	tarbooz
تربيت	tarbiyat
تربيلا	tarbela
تربہ	trb_h
تربیت	tarbiyat
تربیتی	tarbiati
تربیلا	tarbela
تربیلہ	trbilh
ترت	turat
ترتيب	tarteeb
ترتیب	tarteeb
ترتیبی	tarteebi
ترجمان	tarjuman
ترجمانی	tarjamani
ترجموں	trjmon
ترجمہ	tarjuma
ترجمۂ	tarjuma
ترجمے	trjme
ترجیح	tarjeeh
ترجیحات	tarjeehat
ترجیحی	tarjeehi
ترجیع	trjia
ترجیہات	trjihat
تردد	taraddud
تردید	tardeed
ترس	taras
ترسٹھ	trsth
ترسکو	trsko
ترسی	tarsi
ترسیب	tarseeb
ترسیل	tarseel
ترسیلات	tarseelat
ترسیلی	trsili
ترسیم	trsim
ترسیمی	tarseemi
ترش	tursh
ترشاوہ	tarshawah
ترشی	turshi
ترغیب	targheeb
ترغیبی	targheebi
ترق	tarq
ترقي	taraqqi
ترقی	taraqqi
ترقیاتی	taraqiyati
ترلی	trli
ترمذی	tirmizi
ترميم	tarmeem
ترمیم	tarmeem
ترمیمی	tarmeemi
ترن	taran
ترنا	tirna
ترنم	tarannum
ترنوالہ	trnwalh
ترنگ	tarang
ترنگا	tirangaa
ترنگزئی	trngzyi
ترنگے	trnge
ترویج	tarweej
ترپاٹھی	trpathi
ترپن	terappan
ترچھا	tircha
ترچھی	tirchi
ترچھے	tirchay
ترک	tark
ترکاریاں	tarkariyan
ترکستان	turkistan
ترکش	mustafa
ترکمان	tarkaman
ترکمانستان	turkmenistan
ترکمانی	turkmani
ترکوں	turkoon
ترکھان	tarkhan
ترکہ	tarka
ترکی	turkey
ترکیب	tarkeeb
ترکیبوں	trkibon
ترکیبی	tarkeebi
ترکیبیں	trkibin
ترکیہ	tarkia
ترکے	trke
ترہ	trh
تری	tri
تریسٹھ	taresath
ترین	tareen
ترینیداد	trinidad
تریپن	tirappan
تریپورا	tripora
تریپولی	tripoli
ترے	tre
تزئین	tazaeen
تزک	tuzk
تزکیہ	tazkia
تزکیۂ	tazkia
تزین	tazeen
تساہل	tsahl
تسبیح	tasbeeh
تسخیر	taskheer
تسر	tsr
تسل	tasal
تسلسل	tasalsul
تسلط	tasallut
تسلی	tasalii
تسلیاں	tasalliyan
تسلیم	tasleem
تسمانیہ	tasmania
تسمہ	tasma
تسمیع	tasmee
تسمیہ	tasmia
تسنیم	tasneem
تسکین	taskeen
تسہیل	tasheel
تسی	tusi
تشار	tshar
تشبیہ	tashbeeh
تشبیہہ	tshbihh
تشخص	tashakkus
تشخیص	tashkhees
تشخیصی	tshkhisi
تشدد	tashadud
تشدید	tshdid
تشریح	tashreeh
تشریحات	tshrihat
تشریع	tshria
تشریف	tashreef
تشفی	tshfi
تشنگی	tashnagi
تشنہ	tishna
تشنۂ	tishna
تشنیع	tasnee
تشویش	tashweesh
تشویشناک	intahi
تشکر	tshkr
تشکيل	tashkeel
تشکیل	tashkeel
تشہیر	tashheer
تشیع	tashee
تصادفی	tasadeeqi
تصادم	tassadum
تصانیف	tasaneef
تصاوير	tasaveer
تصاویر	tasaveer
تصحیح	tasheeh
تصدق	tassadaq
تصدیق	tasdeeq
تصرف	tasarruf
تصریح	tasreeh
تصریف	tasreef
تصعید	taseed
تصغیر	tasgheer
تصفیہ	tasfia
تصفیے	tsfie
تصمیم	tesmim
تصنع	tasnaa
تصنيف	tasneef
تصنیف	tasneef
تصنیفات	tsnifat
تصنیفی	tsnifi
تصو	tso
تصور	tasawwur
تصورات	tasawurat
تصوراتی	tasaworati
تصوری	tasawwuri
تصوف	tasawuf
تصوير	tasweer
تصويری	tasweerai
تصویر	tasweer
تصویرمیں	tsoyrmin
تصویروں	tasweeron
تصویری	tasweerai
تصویریں	taswerain
تصیح	taseeh
تضاد	tazaad
تضادات	tzadat
تضحیک	tazheek
تضوع	tazway
تطویل	tatweel
تطہیر	tatheer
تعارف	taaruf
تعارفی	taarufi
تعاقب	taqub
تعالی	taala
تعامل	taamul
تعاون	taawun
تعبیر	tabeer
تعبیرات	tabirat
تعجب	taajjub
تعدا	tada
تعداد	tadaad
تعدادمیں	tadadmin
تعدار	tadar
تعدیل	tadeel
تعرض	tarruz
تعرف	taarof
تعریف	tareef
تعریفوں	tareefon
تعریفی	tareefi
تعریفیں	tareefen
تعزیت	taaziyat
تعزیتی	taziyati
تعزیرات	tazirat
تعزیری	tazeeri
تعزیہ	tazih
تعصب	taasub
تعصبات	tasbat
تعصبی	tasubi
تعطل	ta-attul
تعطیل	tateel
تعطیلات	tatilat
تعطیلاتی	tatilati
تعظیم	tazeem
تعظیمی	tazeemi
تعفن	taffun
تعقل	taql
تعلق	talluq
تعلقات	taluqaat
تعلقوں	talqon
تعلقہ	taalluqa
تعلقے	talqe
تعليم	taleem
تعلیم	taleem
تعلیمات	talemaat
تعلیمی	taleemi
تعلیمیافتہ	talimyaft_h
تعمير	taamer
تعميرات	tamirat
تعمیر	taamer
تعمیرات	tamirat
تعمیراتی	tamirati
تعمیروترقی	tamirotrqi
تعمیری	tameeri
تعمیل	tameel
تعمیم	tameem
تعنات	tanat
تعویز	taweez
تعہد	tahd
تعیش	taysh
تعین	taayun
تعینات	tainaat
تعیناتی	taenati
تغافل	taghaful
تغذیہ	taghzia
تغلق	tghlq
تغیر	tagayur
تغیرات	tagayuraat
تفاخر	tafakhar
تفاصیل	tfasil
تفاعل	taqa-al
تفاوت	tafawut
تفتان	tftan
تفتیش	tafteesh
تفتیشی	tafteeshi
تفر	tafir
تفرقات	tfrqat
تفرقہ	tafarruqa
تفرقے	tafruqe
تفریح	tafreeh
تفریحا	tafreehan
تفریحی	tafrehi
تفریق	tafreeq
تفسير	tafseer
تفسیر	tafseer
تفسیری	tafseeri
تفصیل	tafseel
تفصیلا	tfsila
تفصیلات	tafseelaat
تفصیلی	tafseeli
تفضل	tafazal
تفضیل	tafzeel
تفوق	tafawuq
تفویض	tafweez
تفکر	tafakkar
تفکرات	tfkrat
تفہیم	tafheem
تقابل	taqabul
تقابلی	taqabli
تقاریب	tqarib
تقاریر	tqarir
تقاصوں	tqason
تقاضا	taqaza
تقاضوں	taqazoon
تقاضہ	taqaza
تقاضے	takazay
تقاطع	taqataa
تقدس	taqaddus
تقدم	taqaddam
تقدیر	taqdeer
تقدیروں	taqdeero
تقدیس	taqdees
تقرب	taqarab
تقربیا	taqreeban
تقرر	taqarrur
تقرری	taqarruri
تقرریاں	tqrryan
تقريبا	taqreeban
تقریب	taqreeb
تقریبا	taqreeban
تقریبات	taqrebaat
تقریبوں	taqreeboo
تقریبی	taqreebi
تقریر	taqreer
تقریروں	tqriron
تقریری	taqreeri
تقریریں	tqririn
تقسیم	taqseem
تقسیمیں	tqsimin
تقصیر	taqseer
تقصیل	taksil
تقطیر	taqteer
تقطیع	taqtee
تقلید	taqleed
تقلیدی	taqleedi
تقلیل	taqleel
تقوی	taqwa
تقویت	taqwiyat
تقویم	taqweem
تقی	tqi
تقیہ	taqia
تك	tk
تل	tall
تلا	tala
تلار	tlar
تلاش	talaash
تلاشی	talashi
تلاطم	talatum
تلافی	talaafi
تلاوت	talawat
تلبیہ	talbiah
تلخ	talkh
تلخی	talkhi
تلخیاں	talkhiyan
تلخیص	tlkhis
تلخیوں	tlkhyon
تلسی	tulsi
تلف	talaf
تلفظ	talafuz
تلفی	talfi
تلفیوں	tlfyon
تلقین	talqeen
تلمذ	talammuz
تلمود	talmood
تلمیذ	talmeez
تلنگانہ	tlnganh
تلوار	talwar
تلواروں	talwaron
تلواریں	chonkey
تلون	talawun
تلوں	tilon
تلویح	talwih
تلوین	talveen
تلچھٹ	tilchat
تلک	talak
تلکرم	tlkrm
تلگو	aik
تلہ	tlh
تلی	tali
تلے	taley
تم	tum
تما	tma
تماتر	tmatr
تماثیل	tamaseel
تماری	tamari
تماشا	tamasha
تماشائی	tamashaayi
تماشائیوں	tamashaiyon
تماشائے	tamasha-e
تماشے	tamashay
تمام	tamam
تمامتر	tmamtr
تمبا	tmba
تمباکو	tambaku
تمباکونوشی	tmbakonoshi
تمبو	tmbo
تمت	tamat
تمتع	tmta
تمثال	tamsaal
تمثیل	tamseel
تمثیلی	tamseeli
تمدن	tamaddun
تمدنی	tamadduni
تمسخر	tamaskhur
تمغوں	tmghon
تمغہ	tamgha
تمغۂ	tamgha
تمغے	tmghe
تمل	tml
تمن	taman
تمنا	tamanna
تمنائیں	tamannaye
تمکنت	tamkanat
تمکین	tamkin
تمھارا	tumahra
تمھاری	tumhari
تمھارے	tumhare
تمھیں	tumhen
تمہارا	tumhara
تمہاری	tumhari
تمہارے	tumahray
تمہيں	tumhe
تمہی	tumhi
تمہید	tamheed
تمہیں	tumhe
تمیز	tameez
تمیزی	tameezi
تمیم	tamim
تن	tan
تنا	tana
تناؤ	tanao
تنازع	tanaza
تنازعات	tanazeaat
تنازعوں	tnazaon
تنازعہ	tanaza
تنازعے	tanaze
تناسب	tanasub
تناسبات	tanasubaat
تناسخ	tanasukh
تناسل	tanasul
تناظر	tanazur
تناور	tanawar
تناول	tanawal
تنبیہ	tanbeeh
تنبیہات	tnbihat
تنبیہہ	tanbeeh
تنتالیس	tntalis
تنخواہ	thankhowa
تنخواہوں	tankhwahon
تنخواہیں	tnkhwahin
تند	tund
تندرست	tandrost
تندرستی	tandrusti
تندور	tandoor
تندوری	tandoori
تندولکر	tendulkar
تندہی	tnd_hi
تندی	tundi
تنزانیہ	tanzania
تنزل	aur
تنزلی	tanzuli
تنزیل	tanzil
تنسیخ	tanseekh
تنصیب	tanseeb
تنصیبات	tnsibat
تنطیم	tntim
تنظمیوں	tnzmyon
تنظيم	tanzeem
تنظيمات	tnzimat
تنظیم	tanzeem
تنظیمات	tnzimat
تنظیموں	tanzeemon
تنظیمی	tanzeemi
تنظیمیوں	tanzeemon
تنظیمیں	tanzeemen
تنعیم	taneem
تنفر	tanafur
تنفس	tnfs
تنقیح	tanqeeh
تنقید	tanqeed
تنقیدوں	tnqidon
تنقیدی	tanqeedi
تنقیدیں	tnqidin
تنور	tanoor
تنوع	tanawu
تنولی	tnoli
تنوں	tnon
تنویر	tanveer
تنوین	tanween
تنک	tunak
تنکا	tinka
تنکوں	tinkon
تنکے	tinke
تنگ	tang
تنگدستی	tangdasti
تنگی	tangi
تنہا	tanha
تنہائی	tanhai
تنہائیاں	tanhaiiyan
تنی	tanii
تنیوں	tnyon
تنے	tanay
تها	t_ha
تهیں	t_hin
تو	to
توآپ	toaap
توا	tawa
تواتر	tawatar
توار	twar
تواریخ	tawareekh
تواز	tawaz
توازن	tawazun
تواس	twas
توالد	tawalud
توان	twan
توانا	tawana
توانائ	tawanaai
توانائی	tawanai
توانائیوں	twanayyon
توانہوں	twanhon
تواپنے	twapne
توایک	twayk
توبہ	tauba
توبیخ	tobeekh
توت	toot
توتا	tota
توتک	tootak
توتے	tote
توثیق	toseeq
توجہ	tavajja
توجہات	toj_hat
توجہی	tawajhi
توجیہ	tojeeh
توجیہات	tojihat
توجیہہ	tojihh
توجیہیں	tojihin
توحکومت	tohkomt
توحید	toheed
تودوں	todon
تودہ	todah
تودے	today
تور	shehar
تورا	tora
تورات	torat
تورخم	torkhm
توریت	torait
توسط	tavassut
توسل	tawassal
توسیع	tosee
توسیعی	tosiay
توشک	toshak
توشہ	tosha
توصرف	tosrf
توصیف	tauseef
توضیح	tozeeh
توضیحات	tozihat
توفیق	tofeq
توقع	tawaqqa
توقعات	tawaquaat
توقف	tawaquf
توقیر	touqeer
تول	toal
تولتا	tolta
تولنے	tolnay
تولو	tolo
تولہ	tola
تولیت	toleet
تولید	toleed
تولیدی	toleedi
تولیہ	toliya
تولیے	toliye
تولے	tolay
توما	toma
تونائی	tonayi
تونس	tons
تونسوی	tonsoy
تونسہ	tonsh
تونٹی	tonti
تونے	tunay
تووالدہ	towald_h
تووہ	to
توپ	toup
توپخانے	topkhane
توپوں	topon
توپچی	topchi
توپیں	topain
توچی	tochi
توڑ	toar
توڑا	tora
توڑتا	torta
توڑتی	torti
توڑتے	torte
توڑنا	torna
توڑنے	tornay
توڑی	amlan
توڑیں	ko
توڑے	torrey
توک	tuwwak
توکل	tawakkal
توں	ton
توہر	tohr
توہم	tawaham
توہمات	tohmat
توہی	tuhi
توہین	tauheen
تویہ	toyh
توے	taway
تيار	tayyar
تياری	tayari
تيرہويں	terhavi
تيرے	tairay
تيز	taiz
تيزی	taizi
تيسرا	teesra
تيسرے	teesray
تين	teen
تيونس	tyons
تپ	tap
تپتی	tapti
تپتے	tapte
تپر	tapar
تپسیا	tappssea
تپش	tapish
تپہ	tp_h
تڑ	trh
تڑوا	turwaa
تڑپ	tarap
تڑپا	nabwi
تڑپایا	tadpaya
تڑپتا	tadapta
تڑپتے	tarapty
تڑپنا	tarapna
تڑپنے	tarpne
تڑپے	tarpe
تک	taq
تکا	takka
تکافل	tkafl
تکالیف	takaleef
تکان	takan
تکبر	taqqabur
تکبیر	taqbeer
تکتا	taktaa
تکثیف	takseef
تکذیب	tkzib
تکرار	takraar
تکراری	takrari
تکریت	tkrit
تکریم	takreem
تکسید	takseed
تکفین	tkfin
تکلف	takalouf
تکلفات	takallufaat
تکلفی	takalufi
تکلم	tklm
تکلیف	takleef
تکلیفوں	tklifon
تکملہ	takmala
تکمہ	takma
تکمیل	takmeel
تکمیلی	takmeeli
تکنیک	taknik
تکنیکی	takneeki
تکنیکیں	tknikin
تکو	tuko
تکون	tikon
تکونی	tikoni
تکونے	tkone
تکویر	takveer
تکوین	takveen
تکہ	tikka
تکی	tukki
تکیہ	takiya
تکیۂ	takiya
تکیے	takiye
تگ	tug
تگنی	tigni
تگین	tagin
تھ	th
تھآن	aan
تھئیٹر	thyitr
تھا	tha
تھائی	thai
تھااس	thaas
تھاانہوں	thaanhon
تھاجب	thajb
تھاجس	thajs
تھاجو	thajo
تھاـ	tha-
تھال	thaal
تھالی	thaali
تھام	thaam
تھامس	thomas
تھامسن	thomson
تھامی	thamne
تھامے	thaamay
تھان	thaan
تھانوں	thanon
تھانوی	thanoy
تھانہ	thaana
تھانیدار	thanedaar
تھانے	thaanay
تھاپ	thaap
تھر	thar
تھراتے	tharatay
تھراپسٹ	thrapst
تھراپی	therapy
تھرل	thrill
تھرلر	thriller
تھرمل	thrml
تھرمو	tharmo
تھرو	through
تھروٹ	throat
تھرٹی	thrti
تھرپارکر	thrparkr
تھرڈ	mein
تھرک	thark
تھری	three
تھس	thas
تھل	thal
تھلگ	thalag
تھم	tham
تھما	thama
تھمائے	thmaye
تھمب	thumb
تھمنے	thamnay
تھمی	thami
تھنکر	thnkr
تھنکرز	thnkrz
تھو	thu
تھوتھنی	thoothni
تھور	thoar
تھورا	tyoharon
تھورپ	thorp
تھون	thon
تھوپ	thop
تھوڑا	thora
تھوڑی	thori
تھوڑے	thoray
تھوک	thook
تھوکنا	thookna
تھي	thi
تھيں	theen
تھپ	thap
تھپڑ	thapar
تھک	thak
تھکاوٹ	thakawat
تھکتا	thakta
تھکن	thakan
تھکے	thakey
تھی	thi
تھیبس	thebas
تھیراپی	thirapi
تھیـ	thi-
تھیلی	theli
تھیلیسیمیا	thilisimya
تھیلیوں	thilyon
تھیلے	thelay
تھیم	thim
تھیمز	thimz
تھیمس	themes
تھیو	thyo
تھیوری	thyori
تھیٹر	theatre
تھیٹروں	thitron
تھیچر	thichr
تھیں	theen
تھے	they
تھےاور	they
تھےـ	they
تھےلیز	they
تھےلیکن	they
تھےمندرجہ	they
تہ	teh
تہائی	tahai
تہاڑ	t_harh
تہبند	tohband
تہتر	tehattar
تہجد	t_hjd
تہجی	tahajji
تہدید	tehdeed
تہذيب	tahazeeb
تہذيبوں	t_hzibon
تہذیب	tahazeeb
تہذیبوں	t_hzibon
تہذیبی	tehzibi
تہذیبیں	t_hzibin
تہرا	tahra
تہران	t_hran
تہرے	t_hre
تہزیب	tehzib
تہزیبی	t_hzibi
تہس	tehass
تہلکہ	tehelka
تہمتوں	tohmaton
تہمتیں	tohmatain
تہنیتی	t_hniti
تہوار	tehwar
تہواروں	tehwaron
تہور	tahoor
تہوں	tahoon
تہکال	t_hkal
تہہ	teh
تہی	tehi
تہیں	tahein
تہیہ	tahiya
تی	ti
تیئس	taees
تیئیس	tayees
تیا	taya
تیار	tayyar
تیارکردہ	tayarkarda
تیارکی	tyarki
تیاری	tayari
تیاریاں	tayyariyan
تیاریوں	tayario
تیان	tiyaan
تیتر	teetar
تیج	teaj
تیجا	tija
تیجی	tiji
تیر	teer
تیرا	tera
تیرانا	terana
تیرانوے	tiranoe
تیراک	tairaak
تیراکی	teraaki
تیراہ	tirah
تیرتا	tairta
تیرتھ	tirth
تیرتی	tairti
تیرتے	tairtay
تیرنے	tairnay
تیروں	teeron
تیرگی	tayragi
تیرھواں	tirhwan
تیرھویں	tirhoyn
تیرہ	terah
تیرہواں	terhawan
تیرہویں	terhavi
تیری	teri
تیرے	tairay
تیز	taiz
تیزاب	tezaab
تیزابی	tezabi
تیزابیت	tezabiyat
تیزرفتاری	tizrftari
تیزرو	taizro
تیزی	taizi
تیس	tees
تیسر	tisr
تیسرا	teesra
تیسری	teesri
تیسرے	teesray
تیسویں	tisoyn
تیشہ	tesha
تیغ	tegh
تیل	tail
تیلگو	tilgo
تیلی	teeli
تیلیاں	teelian
تیما	tima
تیمار	timar
تیمارداری	timardari
تیمم	tayamum
تیمور	taimoor
تیموری	timori
تیموریہ	timorih
تین	teen
تینتالیس	tentalees
تینتالیسویں	tintalisoyn
تینتیس	tentees
تیندوا	tendwa
تیندوے	tendway
تینو	teinu
تینوں	tenu
تیور	tevare
تیونس	tyons
تیکنک	tiknk
تیکنیک	tiknik
تیکنیکی	tikniki
تیں	tain
تے	te
ث	s
ثابت	saabit
ثار	sar
ثاقب	saqib
ثالث	saalis
ثالثوں	salson
ثالثي	salisi
ثالثہ	salsa
ثالثی	salisi
ثانوی	sanwi
ثانی	sani
ثانیہ	sania
ثبات	sabaat
ثباتی	sbati
ثبت	sabt
ثبوت	saboot
ثبوتوں	saboton
ثر	sr
ثروت	sarwat
ثری	soraa
ثریا	surriya
ثعلب	soalab
ثقات	saqat
ثقافت	saqafat
ثقافتوں	sqafton
ثقافتی	saqafati
ثقافتیں	sqaftin
ثقاہت	saqahat
ثقفی	saqfi
ثقل	saqal
ثقلین	saqlain
ثقہ	saqha
ثقیف	aqeef
ثقیل	saqeel
ثلاثہ	salasa
ثم	sm
ثمامہ	samamah
ثمر	samar
ثمرات	smrat
ثمرہ	samrah
ثمن	samn
ثمود	smod
ثمینہ	samina
ثنا	sana
ثناء	sana
ثواب	sawab
ثوب	zhob
ثوبان	soban
ثوبیہ	sobia
ثور	sore
ثوری	sauri
ج	j
جئے	jiye
جا	ja
جاؤ	jao
جاؤں	jaoon
جائداد	jaidaad
جائدادوں	jaydadon
جائز	jaaiz
جائزوں	jaizon
جائزہ	jaiza
جائزے	jaizay
جائفل	jaiphal
جائنٹ	joint
جائنگے	jaynge
جائوں	joun
جائيں	jayen
جائی	jayi
جائیداد	jaedad
جائیدادوں	jayidadon
جائیدادیں	jayidadin
جائیزہ	jayizh
جائینگے	jayengay
جائیکہ	jayik_h
جائیگا	jaayegaa
جائیگی	jaegi
جائیں	jayen
جائیے	jaiye
جائے	jaye
جائےوہ	jaye
جائےں	jaye
جاب	job
جابر	jabir
جابرانہ	jabirana
جابز	jabz
جابس	jobs
جات	jaat
جاتا	jata
جاتی	jati
جاتیں	jatein
جاتے	jatay
جاج	jaj
جاد	jad
جادو	jaadoo
جادوئی	jaadoyi
جادوگر	jadugar
جادۂ	jadah
جادی	jadi
جاذب	jaazib
جار	jaar
جارج	george
جارجز	jarjz
جارجیا	jarjya
جارح	jareh
جارحانہ	jarehana
جارحیت	jarhiyat
جارنی	jaaree
جارڈن	jardn
جارہا	ja
جارہی	jarahi
جارہے	jarahay
جاری	jari
جاریہ	jaria
جاز	jaaz
جازت	jazt
جاسم	jasam
جاسوس	jasoos
جاسوسوں	jasoson
جاسوسی	jasoosi
جاسکا	jaska
جاسکتا	ja
جاسکتاہے	jasktahe
جاسکتی	ja
جاسکتیں	jasktin
جاسکتے	jasaktay
جاسکی	jaski
جاسکے	jasakay
جال	jaal
جالا	jala
جالب	jalib
جالبی	jalbi
جالندھر	jalandhar
جالندھری	jullundhri
جالوت	jalut
جالہ	jalah
جالی	jaali
جالینوس	jalinoos
جالے	jaaley
جام	jaam
جامد	jaamad
جامشورو	jamshoro
جامع	jame
جامعات	jamiyaat
جامعاتی	jameyati
جامعہ	jamea
جامعۂ	jamea
جامعۃ	jamea
جامعی	jamay
جامعیت	jamiat
جاملے	jamilay
جامن	jaman
جامنی	jamni
جاموٹ	jamot
جامہ	jama
جامۂ	jama
جامی	jamii
جان	jaan
جانا	jana
جاناں	janan
جانب	janib
جانباز	janbaaz
جانبازوں	janbazoon
جانبازی	janbazi
جانبدار	janabdaar
جانبدارانہ	janbdaranh
جانبداری	janibdari
جانبدرانہ	janibdarana
جانبر	woh
جانتا	jaanta
جانتاہے	jantahe
جانتی	janti
جانتے	jantay
جانثار	jansaar
جانثاروں	jansaron
جاندا	janda
جاندار	jandaar
جانداروں	jandaroon
جانز	janz
جانس	jhons
جانسن	johnson
جانسٹن	janstn
جانشین	janasheen
جانشینوں	janshinon
جانشینی	janshini
جانشیں	janshin
جانفشانی	jaanfishani
جانم	janum
جاننا	janna
جاننے	jan-nay
جانو	jano
جانور	janwar
جانوروں	janwaron
جانورں	janwaron
جانوں	jaanun
جانيوالا	janiwala
جانچ	jaanch
جانچا	jancha
جانچتا	janchta
جانچنا	janchna
جانچنے	jhanchne
جانچے	janche
جانکاری	jaankaari
جانکاہ	jankah
جانگ	jaang
جانگیہ	jangia
جانی	jani
جانیں	jaanen
جانے	jaane
جانےکے	jaane
جاوا	java
جاوداں	jaudan
جاوں	jaun
جاوید	javed
جاوے	jaave
جاٹ	jat
جاٹوں	jaton
جاپان	japan
جاپانی	japaani
جاپانیوں	japanion
جاپہنچی	jap_hnchi
جاچکا	ja
جاچکی	ja
جاچکے	chukay
جاڑا	jara
جاڑے	jaray
جاکر	jaakar
جاکے	jaake
جاگ	jaag
جاگت	jagat
جاگتی	jaagti
جاگتے	jagtay
جاگر	jagr
جاگرا	jagra
جاگری	ja
جاگنا	jagna
جاگنے	jaagne
جاگی	jaagi
جاگیر	jageer
جاگیردار	jageerdar
جاگیرداروں	jageerdaroon
جاگیریں	jagirin
جاگیں	jagen
جاں	jaan
جاںبحق	janbhq
جاہ	jah
جاہل	jaahil
جاہلانہ	jahilana
جاہلوں	jahilon
جاہلیت	jahliat
جاہی	jahi
جای	jaai
جایئں	jayyn
جایئے	jayye
جایا	jaya
جاے	jaye
جب	jab
جبار	jabbar
جبتک	jbtk
جبر	jabar
جبرئيل	jbryil
جبرئیل	jibrael
جبرا	jabran
جبرائيل	jibraiel
جبرائیل	jibraiel
جبرالٹر	jbraltr
جبران	jibran
جبرو	jabro
جبری	jabri
جبریل	jibreel
جبریہ	jabriya
جبل	jabal
جبلتوں	jblton
جبلی	jibilli
جبوتی	jboti
جبڑا	jabra
جبڑوں	jabron
جبڑے	jabray
جبک	jabk
جبکہ	jabkay
جبکی	jabky
جبکے	hai
جبھی	jbhi
جبہ	jubba
جبیر	jabeer
جبین	jabeen
جبیں	jabeen
جت	jat
جتاتے	jatate
جتانا	jatana
جتانے	jatanay
جتن	jatan
جتنا	jitna
جتندر	jtndr
جتنی	jitni
جتنے	jitne
